District,Households_Rural,Households_Rural_Dilapidated,Households_Rural_Livable,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Dilapidated,Households_Urban_Livable,Households_Urban_Toilet_Premise
Vaishali,699317,55945.36,371337.327,126576.377,51494,3141.134,20391.624,26158.952
Samastipur,1012979,83064.278,472048.214,204621.758,43486,2652.646,14959.184,31049.004
Begusarai,594377,51710.799,305509.778,105799.106,139248,11000.592,57787.92,82156.32
Khagaria,373696,45964.608,212633.024,93424,21007,2226.742,9369.122,13024.34
Bhagalpur,522527,50685.119,309335.984,88829.59,130634,8491.21,50424.724,91705.068
Banka,425604,49370.064,243019.884,108529.02,18492,1812.216,8044.02,10669.884
Munger,222281,19783.009,130701.228,48234.977,85782,6176.304,40574.886,56873.466
Lakhisarai,175882,15477.616,103418.616,44146.382,31763,2445.751,13594.564,22774.071
Sheikhpura,108293,7363.924,65517.265,12020.523,24345,1241.595,11417.805,10906.56
Nalanda,514141,40617.139,301286.626,134190.801,102522,6868.974,40188.624,76071.324
Patna,657991,50665.307,387556.699,176341.588,552103,46376.652,288749.869,340095.448
Bhojpur,434559,40848.546,260735.4,105597.837,77368,5725.232,34583.496,40386.096
Buxar,299252,28428.94,178354.192,68229.456,35405,2513.755,14799.29,26058.08
Kaimur (Bhabua),325143,29588.013,189883.512,89739.468,15299,795.548,4742.69,13233.635
Rohtas,512383,44577.321,296157.374,105038.515,95678,7845.596,39323.658,65635.108
Aurangabad,428291,44970.555,243269.288,85658.2,49006,4312.528,19406.376,32932.032
Gaya,696289,45258.785,419862.267,100961.905,111282,5118.972,37279.47,78119.964
Nawada,379551,24291.264,219000.927,80085.261,45323,2674.057,18945.014,31000.932
Jamui,325909,21509.994,188375.402,56056.348,30851,1665.954,12679.761,20978.68
Jehanabad,186660,12319.56,107889.48,32105.52,28132,393.848,6357.832,24587.368
Arwal,134334,10746.72,53330.598,26598.132,9960,537.84,4093.56,6772.8
North  District,11543,923.44,4582.571,2285.514,2066,28.924,466.916,1805.684
West District,32091,2535.189,20153.148,5295.015,1886,88.642,678.96,1467.308
South District,31135,3206.905,19397.105,5386.355,8163,522.432,3240.711,5656.959
East District,40626,3250.08,26081.892,4834.494,41512,3528.52,20299.368,20299.368
Tawang,10730,976.43,6566.76,2392.79,2452,169.188,961.184,1660.004
