,State/UT,District,Population,Male,Female,Literate,Literate_Male,Literate_Female,Households_Rural,Households_Urban,Households,Young_and_Adult,Middle_Aged,Senior_Citizen,Age_Not_Started
141,Uttar Pradesh,Bulandshahr,3499171,1845260,1653911,2031656,1253314,778342,658449,221628,880077,2246254,753949,472808,26160
142,Uttar Pradesh,Aligarh,3673889,1951996,1721893,2092567,1283380,809187,582117,275942,858059,2378289,787408,472667,35525
143,Uttar Pradesh,Mahamaya Nagar,1564708,836127,728581,942572,579157,363415,288150,84883,373033,1011157,339137,210083,4331
144,Uttar Pradesh,Mathura,2547184,1367125,1180059,1507746,943346,564400,407488,177802,585290,1600686,535738,327854,82906
145,Uttar Pradesh,Agra,4418797,2364953,2053844,2680510,1614594,1065916,496971,406852,903823,2871903,991255,547873,7766
146,Uttar Pradesh,Firozabad,2498156,1332046,1166110,1521806,912314,609492,349747,185621,535368,1621154,543730,312689,20583
147,Uttar Pradesh,Mainpuri,1868529,993377,875152,1203885,712110,491775,338475,72783,411258,1193660,402321,265638,6910
148,Uttar Pradesh,Budaun,3681896,1967759,1714137,1547477,986501,560976,710956,156668,867624,2436051,748408,424194,73243
149,Uttar Pradesh,Bareilly,4448359,2357665,2090694,2191759,1342697,849062,631613,362798,994411,2893965,952233,514141,88020
150,Uttar Pradesh,Pilibhit,2031007,1072002,959005,1061095,654290,406805,371752,89638,461390,1320476,449673,256276,4582
151,Uttar Pradesh,Shahjahanpur,3006538,1606403,1400135,1490930,915142,575788,520289,134714,655003,1961237,652237,368743,24321
152,Uttar Pradesh,Kheri,4021243,2123187,1898056,2034044,1237157,796887,754938,107672,862610,2582597,896611,510832,31203
153,Uttar Pradesh,Sitapur,4483992,2375264,2108728,2283733,1397702,886031,827583,111319,938902,2862383,1000987,588318,32304
154,Uttar Pradesh,Hardoi,4092845,2191442,1901403,2221601,1374587,847014,786613,121064,907677,2598364,905306,559988,29187
155,Uttar Pradesh,Unnao,3108367,1630087,1478280,1773584,1053063,720521,596317,121039,717356,1893706,706851,453462,54348
156,Uttar Pradesh,Lucknow,4589838,2394476,2195362,3127260,1742440,1384820,344155,717566,1061721,2678289,1161686,685258,64605
157,Uttar Pradesh,Rae Bareli,3405559,1752542,1653017,1965843,1165965,799878,705025,73393,778418,2116007,776583,506583,6386
158,Uttar Pradesh,Farrukhabad,1885204,1006240,878964,1092677,654827,437850,316647,94843,411490,1224584,411153,246795,2672
159,Uttar Pradesh,Kannauj,1656616,881776,774840,1017087,603596,413491,299785,65985,365770,1069916,361028,223535,2137
160,Uttar Pradesh,Etawah,1581810,845856,735954,1062003,623583,438420,265643,85483,351126,979633,362026,237786,2365
161,Uttar Pradesh,Auraiya,1379545,740040,639505,930836,546198,384638,255836,58438,314274,856336,320763,202054,392
162,Uttar Pradesh,Kanpur Dehat,1796184,963255,832929,1170243,692964,477279,363933,41323,405256,1100820,415918,276272,3174
163,Uttar Pradesh,Kanpur Nagar,4581268,2459806,2121462,3243022,1829179,1413843,364869,684906,1049775,2630411,1209554,731795,9508
164,Uttar Pradesh,Jalaun,1689974,906092,783882,1075196,653430,421766,304856,91565,396421,1002817,410090,274954,2113
165,Uttar Pradesh,Jhansi,1998603,1057436,941167,1304513,783705,520808,309592,195321,504913,1171301,510728,308331,8243
166,Uttar Pradesh,Lalitpur,1221592,641011,580581,641191,397586,243605,258013,43819,301832,793551,265080,159666,3295
167,Uttar Pradesh,Hamirpur,1104285,593537,510748,653299,408125,245174,256081,55300,311381,660774,260368,181109,2034
168,Uttar Pradesh,Mahoba,875958,466358,409600,488106,302283,185823,198298,48525,246823,527067,201394,137393,10104
169,Uttar Pradesh,Banda,1799410,965876,833534,1002937,630626,372311,378056,67569,445625,1120432,408527,265310,5141
170,Uttar Pradesh,Chitrakoot,991730,527721,464009,531072,330339,200733,207237,23558,230795,638046,214228,136669,2787
171,Uttar Pradesh,Fatehpur,2632733,1384722,1248011,1512166,911003,601163,558807,77733,636540,1624830,603831,395547,8525
172,Uttar Pradesh,Pratapgarh,3209141,1606085,1603056,1931559,1121381,810178,711085,41701,752786,2002569,703727,492097,10748
173,Uttar Pradesh,Kaushambi,1599596,838485,761111,813424,507279,306145,349856,30764,380620,1034099,336401,210556,18540
174,Uttar Pradesh,Allahabad,5954391,3131807,2822584,3665727,2199340,1466387,983266,265304,1248570,3764404,1335224,818137,36626
175,Uttar Pradesh,Bara Banki,3260699,1707073,1553626,1692458,1010518,681940,635840,79068,714908,2043335,709494,445269,62601
176,Uttar Pradesh,Faizabad,2470996,1259628,1211368,1450901,838339,612562,510378,79288,589666,1534832,543148,367332,25684
177,Uttar Pradesh,Ambedkar Nagar,2397888,1212410,1185478,1486939,846676,640263,501559,65031,566590,1499494,515229,367234,15931
178,Uttar Pradesh,Sultanpur,3797117,1914586,1882531,2239902,1300248,939654,839737,49891,889628,2376875,828222,580164,11856
179,Uttar Pradesh,Bahraich,3487731,1843884,1643847,1398368,878285,520083,698520,61742,760262,2275746,754346,446242,11397
180,Uttar Pradesh,Shrawasti,1117361,593897,523464,423313,276700,146613,248770,8504,257274,723443,245098,143979,4841
181,Uttar Pradesh,Balrampur,2148665,1114721,1033944,868357,544943,323414,410070,35768,445838,1415213,442339,283947,7166
182,Uttar Pradesh,Gonda,3433919,1787146,1646773,1679994,1034181,645813,673578,52794,726372,2223078,734903,464584,11354
183,Uttar Pradesh,Siddharthnagar,2559297,1295095,1264202,1228926,740718,488208,480165,33348,513513,1690396,504002,359977,4922
184,Uttar Pradesh,Basti,2464464,1255272,1209192,1393783,819719,574064,513960,31065,545025,1574037,519265,363891,7271
185,Uttar Pradesh,Sant Kabir Nagar,1715183,869656,845527,954949,567098,387851,324972,27179,352151,1108368,352395,250502,3918
186,Uttar Pradesh,Mahrajganj,2684703,1381754,1302949,1419144,881674,537470,573046,34033,607079,1694493,595114,370573,24523
187,Uttar Pradesh,Gorakhpur,4440895,2277777,2163118,2700328,1593890,1106438,761958,189170,951128,2755630,992114,659677,33474
188,Uttar Pradesh,Kushinagar,3564544,1818055,1746489,1954820,1183722,771098,742324,42775,785099,2236842,772777,500373,54552
189,Uttar Pradesh,Deoria,3100946,1537436,1563510,1875239,1079288,795951,597778,67928,665706,1946336,664708,481219,8683
190,Uttar Pradesh,Azamgarh,4613913,2285004,2328909,2771917,1559414,1212503,891024,80434,971458,2930243,965876,699954,17840
191,Uttar Pradesh,Mau,2205968,1114709,1091259,1363044,773082,589962,352207,99321,451528,1402738,467343,323260,12627
192,Uttar Pradesh,Ballia,3239774,1672902,1566872,1963590,1160960,802630,564927,64454,629381,1975934,724362,502628,36850
193,Uttar Pradesh,Jaunpur,4494204,2220465,2273739,2731677,1565394,1166283,926088,80582,1006670,2826453,927026,689979,50746
194,Uttar Pradesh,Ghazipur,3620268,1855075,1765193,2197549,1293553,903996,700173,61467,761640,2234593,774130,556273,55272
195,Uttar Pradesh,Chandauli,1952756,1017905,934851,1174606,699454,475152,344937,50822,395759,1222695,437000,287767,5294
196,Uttar Pradesh,Varanasi,3676841,1921857,1754984,2403903,1389116,1014787,438935,316129,755064,2260457,856070,531549,28765
197,Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),1578213,807099,771114,910146,546782,363364,293510,45997,339507,1032294,331743,209920,4256
198,Uttar Pradesh,Mirzapur,2496970,1312302,1184668,1428683,865837,562846,465152,77963,543115,1590528,552177,346773,7492
199,Uttar Pradesh,Sonbhadra,1862559,971344,891215,985708,601988,383720,337048,91040,428088,1203938,418914,237866,1841
200,Uttar Pradesh,Etah,1774480,947339,827141,1055202,647042,408160,334246,67752,401998,1149372,383707,237427,3974
201,Uttar Pradesh,Kanshiram Nagar,1436719,764165,672554,724850,452803,272047,271234,72490,343724,946320,301252,183434,5713
202,Bihar,Pashchim Champaran,3935042,2061110,1873932,1759481,1091226,668255,839514,96620,936134,2544205,888205,497793,4839
203,Bihar,Purba Champaran,5099371,2681209,2418162,2276957,1407603,869354,1142260,101565,1243825,3316422,1122340,648009,12600
204,Bihar,Sheohar,656246,346673,309573,283698,171645,112053,158484,7516,166000,421241,139909,93398,1698
205,Bihar,Sitamarhi,3423574,1803252,1620322,1436794,885188,551606,807294,49670,856964,2206340,739982,449035,28217
206,Bihar,Madhubani,4487379,2329313,2158066,2155338,1340085,815253,1047552,41234,1088786,2860455,0,611899,0
207,Bihar,Supaul,2229076,1155283,1073793,1033283,647672,385611,572287,27815,600102,1453438,495020,277610,3008
208,Bihar,Araria,2811569,1463333,1348236,1195768,727643,468125,659061,44213,703274,1872943,612012,324091,2523
